,Name,Position,Age,Height,FG%,3P%,AST,TOV,PTS,Tm,Rebounds,STL,BLK,Overall,PERSON_ID
454,Jalen Green,SG,19,"6' 6""",0.426,0.343,2.6,2.0,17.3,HOU,3.4,0.7,0.3,56.403299327110915,
455,Danuel House Jr.,SF,28,"6' 6""",0.404,0.376,1.0,0.8,5.9,TOT,2.6,0.5,0.4,39.72216192750162,1627863.0
456,Danuel House Jr.,SF,28,"6' 6""",0.338,0.294,1.2,1.1,4.8,HOU,2.6999999999999997,0.3,0.3,33.27545040156284,1627863.0
457,Danuel House Jr.,SF,28,"6' 6""",0.0,0.0,0.0,0.0,0.0,NYK,0.0,0.0,0.0,0.0,1627863.0
458,Danuel House Jr.,SF,28,"6' 6""",0.447,0.415,1.0,0.6,6.8,UTA,2.8000000000000003,0.6,0.5,44.23703060560017,1627863.0
459,Anthony Lamb,SF,23,"6' 6""",0.0,0.0,1.0,0.0,0.0,SAS,0.5,0.0,0.0,2.7132624267419145,
460,Kenyon Martin Jr.,SF,20,"6' 6""",0.533,0.357,1.3,0.8,8.8,HOU,3.7,0.4,0.5,48.29607119600608,
461,David Nwaba,SF,28,"6' 5""",0.483,0.306,0.8,0.5,5.1,HOU,3.3,0.6,0.4,39.7981332754504,1628021.0
462,Kevin Porter Jr.,SG,21,"6' 4""",0.415,0.375,6.2,3.1,15.6,HOU,4.4,1.1,0.4,65.76948122422401,
463,Alperen Sengun,C,19,"6' 9""",0.474,0.248,2.6,2.0,9.6,HOU,5.4,0.8,0.9,50.965921423920115,
464,Jae'Sean Tate,SF,25,"6' 4""",0.498,0.312,2.8,1.8,11.8,HOU,5.4,0.9,0.5,55.67614499674408,
465,Daniel Theis,C,29,"6' 8""",0.519,0.308,0.9,1.0,8.2,TOT,4.9,0.4,0.7,46.67896678966789,1628464.0
466,Daniel Theis,C,29,"6' 8""",0.469,0.291,0.8,1.2,8.4,HOU,5.0,0.4,0.7,44.60603429563707,1628464.0
467,Daniel Theis,C,29,"6' 8""",0.598,0.357,1.0,0.7,7.9,BOS,4.7,0.4,0.7,50.52094638593444,1628464.0
468,D.J. Wilson,PF,25,"6' 10""",0.733,0.0,1.3,0.5,7.5,TOR,4.1,1.3,0.3,44.48665074886043,1628391.0
469,Christian Wood,C,25,"6' 10""",0.501,0.39,2.3,1.9,17.9,HOU,10.1,0.8,1.0,70.25179075320165,1626174.0
470,Steven Adams,C,28,"6' 11""",0.547,0.0,3.4,1.5,6.9,MEM,10.0,0.9,0.8,49.06663772520077,203500.0
471,Santi Aldama,PF,20,"6' 11""",0.402,0.125,0.7,0.5,4.1,MEM,2.7,0.2,0.3,27.68612980247449,
472,Kyle Anderson,SF,27,"6' 9""",0.446,0.33,2.7,1.0,7.6,MEM,5.3,1.1,0.7,50.987627523334055,203937.0
473,Desmond Bane,SG,23,"6' 5""",0.461,0.436,2.7,1.5,18.2,MEM,4.3999999999999995,1.2,0.4,64.80355980030387,
474,Dillon Brooks,SF,25,"6' 7""",0.432,0.309,2.8,1.6,18.4,MEM,3.1999999999999997,1.1,0.3,58.204905578467546,1628415.0
475,Brandon Clarke,PF,24,"6' 8""",0.644,0.227,1.3,0.5,10.4,MEM,5.300000000000001,0.6,1.1,53.755155198610815,
476,Jarrett Culver,G,22,"6' 6""",0.378,0.255,0.9,0.5,3.5,MEM,1.3,0.5,0.1,29.726503147384413,
477,Tim Frazier,PG,30,"6' 0""",0.311,0.353,2.8,1.3,3.3,TOT,1.6,0.3,0.1,34.31734317343173,204025.0
478,Tim Frazier,PG,30,"6' 0""",0.302,0.353,3.3,1.3,3.7,ORL,1.9,0.3,0.1,35.86932928152811,204025.0
479,Tim Frazier,PG,30,"6' 0""",0.5,0.0,0.5,1.0,1.0,CLE,0.0,0.0,0.0,18.45018450184502,204025.0
480,Juancho Hernangomez,F,25,"6' 9""",0.415,0.348,0.5,0.4,3.3,TOT,2.5,0.4,0.3,34.501845018450176,1627823.0
481,Juancho Hernangomez,F,25,"6' 9""",0.185,0.167,0.2,0.3,1.1,BOS,1.4,0.2,0.1,15.584979379205558,1627823.0
482,Juancho Hernangomez,F,25,"6' 9""",0.333,0.0,0.6,0.4,1.4,SAS,3.0,0.2,0.2,18.222270457998697,1627823.0
